the_geom,Latitude,Longitude,Location,Name,Quantity,Type
POINT (-87.678358 41.91926099999999),41.919261,-87.678358,2012 W Dickens Ave,"Covenant Presbyterian Church, 2012 W Dickens Ave",1,Type B
POINT (-87.675294 42.01374),42.01374,-87.675294,7240 N Clark,7240 N Clark @Chicago Math & Science Academy (north entrance),2,Plaza Rack
POINT (-87.65333899999999 41.973561000000004),41.973561,-87.653339,908-932 West Argyle Street,Self-help Home,1,Type B
POINT (-87.673454 41.959008000000004),41.959008,-87.673454,4241 North Ravenswood Avenue,4241 North Ravenswood Avenue - Koval Distillery,1,Corral
POINT (-87.67687788 41.89582085),41.89582085,-87.67687788,1959 W Chicago Ave,1959 W Chicago Ave,1,Type B
POINT (-87.65955699999999 41.981484),41.981484,-87.659557,5451 North Broadway,5451 N Broadway,1,Type B
POINT (-87.634512 41.895222),41.895222,-87.634512,708 North Wells Street,716 N wells,1,Type B
POINT (-87.654869 41.98736099999999),41.987361,-87.654869,"Sheridan/Ardmore, Lake Front Trail N. Entrance","Sheridan/Ardmore, Lake Front Trail N. Entrance",1,Type B
POINT (-87.71985399999998 41.932223),41.932223,-87.719854,3700 West Diversey Avenue,Adrian's Foods Market,1,Type B
POINT (-87.689803 41.983636),41.983636,-87.689803,5610-5616 North Western Avenue,5260 N. Western,1,Type B
POINT (-87.655322 41.939949000000006),41.939949,-87.655322,1034 W. Belmont,"Big & Little's, 1034 W. Belmont",1,Type B
POINT (-87.67453699999999 41.979749),41.979749,-87.674537,5401 N. Ravenswood,"Andersonville Gardens, 5401 N. Ravenswood",1,Type B
POINT (-87.67843799999999 41.953275),41.953275,-87.678438,3934-3936 North Lincoln Avenue,Carol Maher,3,Type B
POINT (-87.70952099999998 41.905317),41.905317,-87.709521,3301-3303 West Evergreen Avenue,3301 W Evergreen Ave,2,Type B
POINT (-87.53505911 41.711732749999996),41.71173275,-87.53505911,10105 S Ewing,10105 S  EWING,1,Type B
POINT (-87.77521917999998 41.93107333),41.93107333,-87.77521918,5941 W Diversey,Dollar Island,1,Decorative
POINT (-87.69780499999999 41.938880999999995),41.938881,-87.697805,3140 California,Carniceria Guanajuato,1,Type B
POINT (-87.70805999999999 41.962852999999996),41.962853,-87.70806,4457-4459 North Kedzie Avenue,4457 North Kedzie Avenue - Law Office,2,Type B
POINT (-87.807532 41.950351000000005),41.950351,-87.807532,3848 North Harlem Avenue,The Brewery,2,Type B
POINT (-87.66078 42.00236299999998),42.002363,-87.66078,6580 N. Sheridan Rd,"Onward Café,6580 N. Sheridan Rd",2,Type B
POINT (-87.694085 41.944450999999994),41.944451,-87.694085,3400 North Rockwell Street,Kerry Wood Cubs Field/Lane Tech HS Fields,4,Type B
POINT (-87.677131 41.909918000000005),41.909918,-87.677131,1570-1572 North Milwaukee Avenue,1572 North Milwaukee Avenue - Yeti,2,Type B
POINT (-87.69929760999999 41.924660349999996),41.92466035,-87.69929761,2847 W Fullerton,MOCA,2,Type B
POINT (-87.642401 41.932258),41.932258,-87.642401,521 W. Diversey,Diversey & N Hampden Ct,2,Type B
POINT (-87.660426 41.994629),41.994629,-87.660426,6200 N. Broadway,6200 N. Broadway,2,Type B
POINT (-87.622679 41.885528),41.885528,-87.622679,180 North Stetson Avenue,Aon Center/Prudential Building,3,Type B
POINT (-87.756923 41.94584400000001),41.945844,-87.756923,W. Addison & N. Laramie,W. Addison & N. Laramie,1,Type B
POINT (-87.634165 41.91144),41.91144,-87.634165,1601 North Wells Street,1601 North Wells Street,1,Type B
POINT (-87.63897299999998 41.895289),41.895289,-87.638973,411 West Superior Street,405 West Superior Street,1,Type B
POINT (-87.708106 41.967776),41.967776,-87.708106,4733-4741 North Kedzie Avenue,4733 North Kedzie Avenue - Andy's Fruit Ranch,1,Type B
POINT (-87.697194 41.938805),41.938805,-87.697194,3173 North Elston Avenue,3173 North Elston Avenue - Beer Temple,1,Corral
POINT (-87.627645 41.889844000000004),41.889844,-87.627645,415 North State Street,1 East Hubbard Street - Office Building,1,Type B
POINT (-87.648143 41.853036),41.853036,-87.648143,2136 S Peoria St.,"Moody Tongue Brewery,  2136 S Peoria St.",2,Type B
POINT (-87.75487198999998 41.93884512),41.93884512,-87.75487199,5108 W Belmont Ave,Public Library,1,Decorative
POINT (-87.65196299999998 41.85819800000001),41.858198,-87.651963,1008-1012 West 18th Street,"Cosmos the Salon, 1010 W. 18th St",1,Type B
POINT (-87.71538968000002 41.86806171),41.86806171,-87.71538968,1101 S. Central Park Ave,UCAN/ Sunrise Baptist Church,1,Type B
POINT (-87.649559 41.945371),41.945371,-87.649559,801 West Cornelia Avenue,801 West Cornelia Avenue,1,Type B
POINT (-87.641231 41.896497999999994),41.896498,-87.641231,469 West Chicago Avenue,469 West Chicago Avenue - Starbucks,1,Type B
POINT (-87.63757299999999 41.90945),41.90945,-87.637573,1500 N. New Orleans,1500 N. New Orleans,1,Type B
POINT (-87.727195 41.95041199999999),41.950412,-87.727195,3811-3817 North Pulaski Road,3817 N. Pulaski,2,Type B
POINT (-87.635218 41.899536999999995),41.899537,-87.635218,221 West Walton Street,Lighthouse Institute,2,Type B
POINT (-87.62302199999999 41.816545),41.816545,-87.623022,528 E 43rd St,"Sip & Savor, 528 E 43rd St",1,Type B
POINT (-87.66985035 41.98756126999999),41.98756127,-87.66985035,5820 N. Clark,Northside Dental,2,Type B
POINT (-87.713912 41.84458399999998),41.844584,-87.713912,3538-3540 West 26th Street,26th & Central Park Currency Exchange-3540 W 26th Street,1,Type B
POINT (-87.686955 41.95348299999999),41.953483,-87.686955,3941-3943 North Claremont Avenue,Irving and Claremont (South Side),1,Type B
POINT (-87.71758399999999 41.844505),41.844505,-87.717584,2554 South Lawndale Avenue,Pizza Nova-3704 W. 26th Street,1,Type B
POINT (-87.728801 41.843920999999995),41.843921,-87.728801,4147 West 26th Street,Pollo Bravo Restaurant-4147 W. 26th Street,1,Type B
POINT (-87.61863799999999 41.69976),41.69976,-87.618638,159 East 107th Street,159 East 107th Street - Developmental Academy Preschool,1,Type B
POINT (-87.68884299999999 41.966830999999985),41.966831,-87.688843,4700 N Western Ave,4700 N Western Ave,4,Decorative
POINT (-87.76072993 41.91789422),41.91789422,-87.76072993,5358 W Grand Ave,Grand Avenue Shrimp House,1,Type B
POINT (-87.746074 41.91581999999999),41.91582,-87.746074,1919 N Cicero Ave,1919 N Cicero Ave,2,Type B
POINT (-87.706177 41.94480299999999),41.944803,-87.706177,3491 N. Elston Ave,3491 N. Elston Ave,1,Type B
POINT (-87.62295199999998 41.736062999999994),41.736063,-87.622952,29 East 87th Street,29 East 87th Street - McDonald's,1,Type B
POINT (-87.537285 41.70254),41.70254,-87.537285,3541 East 106th Street,3541 E 106th St,1,Type B
POINT (-87.72949599999998 41.90961399999999),41.909614,-87.729496,4111 West North Avenue,4115 West North Avenue,1,Type B
POINT (-87.68823 41.930535),41.930535,-87.68823,2702 North Western Avenue,Western & Schubert,1,Type B
POINT (-87.613418 41.685239),41.685239,-87.613418,355 East 115th Street,355 East 115th Street - Heaven Hands Ministries,1,Type B
POINT (-87.629861 41.885276),41.885276,-87.629861,180 North Dearborn Street,Goodman Theater,2,Type B
POINT (-87.610375 41.707014),41.707014,-87.610375,525 East 103rd Street,525 East 103rd Street - Fulfilled Purpose Church,1,Type B
POINT (-87.667969 41.98031499999999),41.980315,-87.667969,5413 North Clark Street,Summerdale Restaurant,1,Type B
POINT (-87.63105199999998 41.87622399999999),41.876224,-87.631052,426 South Clark Street,West side of Clark Street between Van Buren and Congress,1,Type B
POINT (-87.652876 41.85385200000001),41.853852,-87.652876,2101 S. Carpenter St,"Lo Rez Brewing and Taproom,  2101 S. Carpenter St",3,Type B
POINT (-87.709565 41.844638999999994),41.844639,-87.709565,3346-3356 West 26th Street,T-Mobile Store-3352 W 26th Street,1,Type B
POINT (-87.671233 41.877390999999996),41.877391,-87.671233,1755 West Jackson Boulevard,Church's Chicken at Ogden and Jackson,2,Type B
POINT (-87.74787033 41.931422620000006),41.93142262,-87.74787033,4833 W Diversey Ave,Morelia Supermarket,2,Type B
POINT (-87.62446899999999 41.890624),41.890624,-87.624469,444 North Michigan Avenue,444 North Michigan Avenue,2,Type B
POINT (-87.63948699999999 41.880568999999994),41.880569,-87.639487,111 S. Canal,Monroe and Canal Intersection,8,Type B
POINT (-87.70802485 41.924676049999995),41.92467605,-87.70802485,3201 W. Fullerton,"Paramount Personal Training, Inc",1,Type B
POINT (-87.73361880999998 41.98947303),41.98947303,-87.73361881,5994 N Rogers,Strip Mall,2,Type B
POINT (-87.62611899999999 41.86477200000001),41.864772,-87.626119,1332-1334 South Wabash Avenue,"Cycmode, 1333 S Wabash Ave",2,Type B
POINT (-87.712443 41.936386999999996),41.936387,-87.712443,3020 N. Kimball Ave,"Garrett Wellness Center, 3020 N. Kimball Ave",1,Type B
POINT (-87.654335 41.976971),41.976971,-87.654335,5201 North Sheridan Road,Corner of Foster and Sheridan,1,Type B
POINT (-87.76750727 41.92425897),41.92425897,-87.76750727,5634 W Fullerton,Plaza,2,Type B
POINT (-87.603764 41.69220599999999),41.692206,-87.603764,727 East 111th Street,727 East 111th Street - CPD Area 2 Station,1,Type B
POINT (-87.63709899999999 41.684976),41.684976,-87.637099,555 West 115th Street,555 West 115th Street - Phase I Learning Center,1,Type B
POINT (-87.63049 41.892987999999995),41.892988,-87.63049,63 West Ontario Street,Hard Rock Cafe Chicago,1,Type B
POINT (-87.68205299999998 41.71158),41.71158,-87.682053,10008 South Western Avenue,Town Liquors,1,Type B
POINT (-87.71500703 41.84310853),41.84310853,-87.71500703,2642 S Central Park Ave,Dentist Office,1,Type B
POINT (-87.673698 41.96475000000001),41.96475,-87.673698,4545-4547 North Ravenswood Avenue,4545 North Ravenswood Avenue,1,Type B
POINT (-87.697692 41.92889300000001),41.928893,-87.697692,2800 West Logan Boulevard,2800 W. Logan Blvd,2,Type B
POINT (-87.67750599999998 41.904832),41.904832,-87.677506,1250-1252 North Damen Avenue,1252 n Damen,1,Type B
POINT (-87.55184199999998 41.739527),41.739527,-87.551842,8548-8550 South Commercial Avenue,8550 South Commercial Avenue - Maya's Pizza,1,Type B
POINT (-87.754368 41.960262),41.960262,-87.754368,4356 N. Milwaukee Ave,Tone Deaf Records 4356 N. Milwaukee Ave,1,Type B
POINT (-87.68150699999998 41.912842000000005),41.912842,-87.681507,1732 North Milwaukee Avenue,Roxie's by the slice,1,Type B
POINT (-87.63697299999998 41.88539600000001),41.885396,-87.636973,180 N Wacker,180 N Wacker,1,Type B
POINT (-87.649295 41.953139),41.953139,-87.649295,3901 North Broadway,3901 North Broadway,2,Type B
POINT (-87.66270499999999 41.906015),41.906015,-87.662705,1327 N Noble St,"St. Stanislaus Kostka Church,1327 N Noble St",2,Type B
POINT (-87.66453269 41.89704198),41.89704198,-87.66453269,1459 W. Fry St,Chip Inn,1,Type B
POINT (-87.53569041999998 41.72155517),41.72155517,-87.53569042,9556 S Ewing,ST GEORGE'S CHURCH,1,Type B
POINT (-87.64379699999999 41.752615),41.752615,-87.643797,7757 South Halsted Street,7757 South Halsted Street - Neil's Food Mart,1,Type B
POINT (-87.72185199999998 41.85255600000001),41.852556,-87.721852,3848-3860 West Ogden Avenue,3860 West Ogden Avenue,2,Type B
POINT (-87.702603 41.917444999999994),41.917445,-87.702603,3005 W Armitage Ave,"Joe's Hair Studio,3005 W Armitage Ave",1,Type B
POINT (-87.643064 41.885487),41.885487,-87.643064,180 North Jefferson Street,180 N Jefferson Apartments,1,Type B
POINT (-87.629901 41.88651900000001),41.886519,-87.629901,55 West Upper Wacker Drive,55 W. Wacker/ Dearborn side,2,Type B
POINT (-87.666696 41.966217),41.966217,-87.666696,4631 North Clark Street,4629 North Clark Street - damaged rack,1,Type B
POINT (-87.67158799999999 41.903119),41.903119,-87.671588,1743 West Division Street,1743 West Division,1,Type B
POINT (-87.66112899999999 41.93255),41.93255,-87.661129,Diversey & Lakewood,Diversey & Lakewood,2,Type B
POINT (-87.646273 41.85281599999999),41.852816,-87.646273,2147-2149 South Halsted Street,"2149 S. Halsted, Yoga Studio",1,Type B
POINT (-87.67295799999998 41.96535399999999),41.965354,-87.672958,1742-1756 West Wilson Avenue,1760 W. Wilson,3,Type B
POINT (-87.649852 41.94751099999999),41.947511,-87.649852,3600 North Halsted Street,3600 North Halsted - Center on Addison,2,Type B
POINT (-87.62744399999998 41.884848999999996),41.884849,-87.627444,8 East Randolph Street,"Joffrey Ballet, 10 E Randolph St",2,Type B
POINT (-87.653984 41.712937000000004),41.712937,-87.653984,9938 South Vincennes Avenue,9940 South Vincennes Avenue - Mi Lindo Durango,1,Type B
POINT (-87.79896899999999 41.991775000000004),41.991775,-87.798969,6088 North Northwest Highway,Norwood Park Metra Station,4,Type B
POINT (-87.63042399999999 41.895350999999984),41.895351,-87.630424,61 West Superior Street,"Poetry Foundation, 61 West Superior Street",2,Type B
POINT (-87.679992 41.95629499999999),41.956295,-87.679992,4109 North Lincoln Avenue,Bottles & Cans,1,Type B
POINT (-87.558624 41.74476000000001),41.74476,-87.558624,2700-2702 East 83rd Street,2700 East 83rd Street - The Earth Center,1,Type B
POINT (-87.74082799999998 41.924395),41.924395,-87.740828,4516 West Fullerton Avenue,4516 W Fullerton Ave.,1,Type B
POINT (-87.67526299999999 41.903217999999995),41.903218,-87.675263,1909 W. Division,1909 W. Division,1,Type B
POINT (-87.647309 41.88006099999998),41.880061,-87.647309,116 S. Halsted,Starbucks,1,Type B
POINT (-87.66871199999999 41.90448599999999),41.904486,-87.668712,1256-1258 North Milwaukee Avenue,1256-1258 North Milwaukee Avenue,1,Type B
POINT (-87.669225 41.80881999999998),41.80882,-87.669225,1746 West 47th Street,Panaderia Pantitlan and N & P Jewelry-1746 W. 47th Street,1,Type B
POINT (-87.68828599999999 41.947934999999994),41.947935,-87.688286,3643 N. Western,MOD Pizza,4,Type B
POINT (-87.77550396000001 41.93127515),41.93127515,-87.77550396,5948 W Diversey Ave,Lucky Inn,1,Decorative
POINT (-87.678126 41.853749),41.853749,-87.678126,2103 South Hoyne Avenue,2059 W 21st St,1,Type B
POINT (-87.66256999999999 41.89123299999999),41.891233,-87.66257,1400-1408 West Grand Avenue,"Green Grocer 1402 West Grand Ave, Chicago IL",2,Type B
POINT (-87.77149170999999 41.93110782000001),41.93110782,-87.77149171,5809 W Diversey Ave,JV Hair Salon,1,Decorative
POINT (-87.63122999999999 41.887124),41.887124,-87.63123,Chicago Riverwalk,Riverwalk Entrance,2,Type B
POINT (-87.67763099999999 41.88703199999999),41.887032,-87.677631,2000-2034 West Fulton Street,Damen and Fulton,2,Type B
POINT (-87.65206799999999 41.915976999999984),41.915977,-87.652068,1876 N. Bissell,Icky Park,1,Type B
POINT (-87.597052 41.659119),41.659119,-87.597052,1029 E. 130 Street,TCA Health Center,2,Type B
POINT (-87.69528506999998 41.86637922),41.86637922,-87.69528507,2745 W. Roosevelt Road,Chalmers Elementary,2,Type B
POINT (-87.75112461 41.93872264),41.93872264,-87.75112461,4943 W. Belmont,"Fresenius Medical Care, 4943 W. Belmont",1,Type B
POINT (-87.64133999999999 41.944813999999994),41.944814,-87.64134,3430 N. Lakeshore Drive,3430 N. Lakeshore Drive CTA Bus Stop,1,Type B
POINT (-87.60869499999998 41.707665),41.707665,-87.608695,600-604 East 103rd Street,600 East 103rd Street - Community Food Mart,1,Type B
POINT (-87.66839999999999 42.016251000000004),42.016251,-87.6684,7404 North Greenview Avenue,"Charmers Café, 7406 N.  Greenview",4,Type B
POINT (-87.70602699999999 41.917744),41.917744,-87.706027,3110 West Armitage Avenue,Walgreen's,1,Type B
POINT (-87.666014 41.92309099999999),41.923091,-87.666014,2261-2265 North Clybourn Avenue,"Whole Health Chicago, 2265 N Clybourn Ave",1,Type B
POINT (-87.66088799999999 41.933884),41.933884,-87.660888,2866 North Lincoln Avenue,Heritage Littles,1,Type B
POINT (-87.77858934999999 41.93119043),41.93119043,-87.77858935,6102 W Diversey,La Piri Tacos,1,Decorative
POINT (-87.63755399999998 41.677628999999996),41.677629,-87.637554,609 West 119th Street,609 West 119th Street - Six Brothers Tobacco and Food,1,Type B
POINT (-87.71195300000001 41.844685000000005),41.844685,-87.711953,3448-3450 West 26th Street,PNC Bank-3450 W 26th Street,1,Type B
POINT (-87.649883 41.961121),41.961121,-87.649883,4343 North Clarendon Ave,4343 North Clarendon Ave,1,Decorative
POINT (-87.698396 41.89598500000001),41.895985,-87.698396,2834-2850 West Chicago Avenue,"The Wasteshed, 2842 W. Chicago Ave",1,Type B
POINT (-87.71286499999998 41.98184699999999),41.981847,-87.712865,5510 North Christiana Avenue,5510 North Christiana Avenue - Peterson Elementary,4,Type B
POINT (-87.62291399999998 41.898123),41.898123,-87.622914,175 E. Chestnut,175 E. Chestnut,1,Plaza Rack
POINT (-87.602315 41.798458999999994),41.798459,-87.602315,936 East 54th Street,Kozminski Community Academy,2,Type B
POINT (-87.70799699999999 41.96874100000001),41.968741,-87.707997,4801 North Kedzie Avenue,4811 North Kedzie Avenue - Lindo Michoacan Restaurant,2,Type B
POINT (-87.72498399999999 41.847145),41.847145,-87.724984,2422 South Pulaski Road,2424 South Pulaski Road,1,Type B
POINT (-87.72508699999999 41.971441),41.971441,-87.725087,4950 North Avers Avenue,4950 North Avers Avenue - Volta Elementary,1,Corral
POINT (-87.651666 41.889369),41.889369,-87.651666,401 North Morgan Street,Brass Monkey event space/artist's lofts,2,Type B
POINT (-87.62487999999999 41.899607),41.899607,-87.62488,900 North Michigan Avenue,"900 N Michigan Ave, Gucci Store",1,Type B
POINT (-87.654445 41.962042),41.962042,-87.654445,4401-4413 North Sheridan Road,Jakes,1,Type B
POINT (-87.64988799999999 41.952118999999996),41.952119,-87.649888,3826 North Broadway,3826 North Broadway - Wee Care Preschool,1,Type B
POINT (-87.684196 41.895793000000005),41.895793,-87.684196,2258 W Chicago Ave,"Fatsos Last Stand, 2258 W Chicago Ave",1,Type B
POINT (-87.67315999999998 42.00482999999999),42.00483,-87.67316,6736-6750 North Clark Street,"McDonalds, 6740 N. Clark St",1,Type B
POINT (-87.74062599999999 41.96843199999999),41.968432,-87.740626,4821 N Elston Ave,"Senor Pan Cafe,4821 N Elston Ave",2,Type B
POINT (-87.679032 41.911122),41.911122,-87.679032,1640-1652 North Milwaukee Avenue,"1647 N. Milwaukee, Trek Bike Store",1,Type B
POINT (-87.67935816000002 41.911529089999995),41.91152909,-87.67935816,1658 N Milwaukee,Seven Eleven,1,Type B
POINT (-87.75221867999998 41.92434677999999),41.92434678,-87.75221868,5020 W Fullerton,Fresh Market,1,Decorative
POINT (-87.68571999999999 41.69135899999999),41.691359,-87.68572,2545-2559 West 111th Street,2545 West 111th Street - Charter Fitness Beverley,2,Type B
POINT (-87.73430186 41.858801820000004),41.85880182,-87.73430186,4350-52  W. 16th,Greater Star Baptist Church,1,Type B
POINT (-87.69431406999999 41.92122378),41.92122378,-87.69431407,2211 N Milwaukee,Navigator Tap Room,2,Type B
POINT (-87.64186799999999 41.88029399999999),41.880294,-87.641868,555 West Monroe Street,555 W Monroe Street,1,Type B
POINT (-87.653802 41.96502300000001),41.965023,-87.653802,931-939 West Wilson Avenue,"935 W Wilson Ave,",1,Decorative
POINT (-87.65248699999998 41.913095),41.913095,-87.652487,1755 N Clybourn Ave,Clybourn Park Basketball Courts,4,Type B
POINT (-87.658956 41.736087999999995),41.736088,-87.658956,1412 West 87th Street,1412 West 87th Street - Sweet Pea Academy,1,Type B
POINT (-87.696659 41.899392999999996),41.899393,-87.696659,"1001 N. California Ave, Café Marie-Jeanne","1001 N. California Ave, Café Marie-Jeanne",2,Type B
POINT (-87.746472 41.99119999999999),41.9912,-87.746472,6040 N Kilpatrick Ave,"Sauganash School, 6040 N Kilpatrick Ave",6,Type B
POINT (-87.64038399999998 41.87803),41.87803,-87.640384,West Jackson Boulevard,520 West Jackson Boulevard,1,Type B
POINT (-87.665584 41.937095),41.937095,-87.665584,3052 North Lincoln Avenue,Universal Sole,1,Type B
POINT (-87.730511 41.942931),41.942931,-87.730511,3396-3398 North Milwaukee Avenue,"3394 N. Milwaukee, Live Wire",1,Type B
POINT (-87.70974856 41.870056919999996),41.87005692,-87.70974856,3333 W. Arthington Ave,Homan Square Park Sunken Gardens,1,Type B
POINT (-87.64804 41.92140599999999),41.921406,-87.64804,2145 North Halsted Street,"Lincoln Park High School, 2001 N Orchard St",7,Type B
POINT (-87.666529 41.856746),41.856746,-87.666529,1834 South Ashland Avenue,Rockstar Hair Boutique,1,Type B
POINT (-87.731305 41.83703499999999),41.837035,-87.731305,4246-4258 West 31st Street,Home Run Inn Pizza-4254 W. 31st Street,1,Type B
POINT (-87.672177 41.983438),41.983438,-87.672177,1677 W. Bryn Mawr,"Saint Gregory the Great Convent, 1677 W. Bryn Mawr",2,Type B
POINT (-87.67858499999998 41.954979),41.954979,-87.678585,4025 North Damen Avenue,Cuyler & Damen,1,Type B
POINT (-87.65024899999999 41.95151700000001),41.951517,-87.650249,"3800 North Broadway, Grill Park Cooperative",3800 North Broadway - Gill Park Cooperative,1,Type B
POINT (-87.652935 41.854034999999996),41.854035,-87.652935,1036 West 21st Street,1036 West 21st Street,2,Type B
POINT (-87.77169151 41.92373211999999),41.92373212,-87.77169151,5819 W Fullerton,Hair studio,1,Decorative
POINT (-87.62645499999999 41.87797900000001),41.877979,-87.626455,25 East Jackson Boulevard,DePaul Central/ DPU Lewis Center,7,Type B
POINT (-87.62941299999999 41.873012),41.873012,-87.629413,714 South Dearborn Street,"Sandmeyer's Bookstore, 714 S Dearborn St.",1,Type B
POINT (-87.63522486999999 41.88085001999999),41.88085002,-87.63522487,230 W Monroe,230 W Monroe,1,Type B
POINT (-87.614158 41.707651999999996),41.707652,-87.614158,350-364 East 103rd Street,350 East 103rd Street - Dunkin Donuts,1,Type B
POINT (-87.63700999999999 41.891188),41.891188,-87.63701,509 N. New Orleans,Domino's Pizza,1,Type B
POINT (-87.63355299999999 41.885371),41.885371,-87.633553,177 North Wells Street,"CTA blue line, 7 Eleven, Subway",1,Type B
POINT (-87.64115900000002 41.88153099999999),41.881531,-87.641159,11 South Clinton,11 South Clinton,2,Type B
POINT (-87.68907999999999 41.96464699999999),41.964647,-87.68908,4548 N Western Ave,4548 N Western Ave,3,Decorative
POINT (-87.649589 41.95062899999999),41.950629,-87.649589,3760 North Broadway,3760 North Broadway - MyEyeDr.,1,Type B
POINT (-87.67818599999998 41.854348),41.854348,-87.678186,2015-2017 South Hoyne Avenue,CTA Damen Pink Line Station (Hoyne exit side),2,Type B
POINT (-87.72157199999998 41.844106),41.844106,-87.721572,3849 West 26th Street,Naty's Pizza-3849 W 26th Street,1,Type B
POINT (-87.77583555 41.929615029999994),41.92961503,-87.77583555,"2709 N Austin Avenue, Lucy's Beauty Salon","2709 N Austin Avenue, Lucy's Beauty Salon",1,Type B
POINT (-87.629248 41.893261),41.893261,-87.629248,30 West Ontario Street,30 West Ontario Street - Northwestern Medicine,2,Type B
POINT (-87.594123 41.791367),41.791367,-87.594123,1316 E. 57th,1316 E. 57th,1,Type B
POINT (-87.67018433 41.94523057000001),41.94523057,-87.67018433,1650 W. Cornelia Ave,Hamilton Elementary,4,Type B
POINT (-87.77552198 41.92041668000001),41.92041668,-87.77552198,5959 W. Grand Ave,El Ranchito on Grand,1,Type B
POINT (-87.65174599999999 41.884030999999986),41.884031,-87.651746,945 West Randolph Street,Nando's,1,Type B
POINT (-87.657585 41.73546499999999),41.735465,-87.657585,1345 West 87th Street,1345 West 87th Street - Fresh Catch Fish and Seafood,1,Type B
POINT (-87.633789 41.692662),41.692662,-87.633789,420 West 111th Street,420 West 111th Street - Youth Peace Center of Roseland,1,Type B
POINT (-87.72470603 41.85385250999999),41.85385251,-87.72470603,2005 S. Pulaski,CTA Pulaski Pink Line Station/ Bus Stop,5,Type B
POINT (-87.66919099999998 41.721379999999996),41.72138,-87.669191,1840-1842 West 95th Street,"1844 W 95th St., Jimmy Jamm Sweet Potato Pies",1,Type B
POINT (-87.74453668 41.93892799),41.93892799,-87.74453668,4712 W. Belmont,"Parsons Park, 4712 W. Belmont",2,Type B
POINT (-87.69679599999999 41.922248),41.922248,-87.696796,2280 North Milwaukee Avenue,2331 N California,1,Type B
POINT (-87.620627 41.88662399999999),41.886624,-87.620627,221 N. Columbus,Radisson Blu Aqua Hotel,1,Type B
POINT (-87.66842402 41.982100669999994),41.98210067,-87.66842402,5515 N. Clark,"5515 N. Clark, Edge Produce",1,Type B
POINT (-87.63021999999998 41.90207100000001),41.902071,-87.63022,1100-1110 North Dearborn Street,Dearborn and Maple,2,Type B
POINT (-87.70166899999998 41.961239999999975),41.96124,-87.701669,2925 W. Montrose,Twisted Hippo Brewing,1,Type B
POINT (-87.66621642999999 41.93858536999999),41.93858537,-87.66621643,3120 N. Greenview,Rax Trax/ Power Cycle 3120 N. Greenview,1,Type B
POINT (-87.57772299999999 41.751758),41.751758,-87.577723,1914-1918 East 79th Street,1916 East 79th Street - Catfish Jack,1,Type B
POINT (-87.75464531 41.91694833),41.91694833,-87.75464531,5130 W Grand Ave,Grand Food & Liquor,1,Type B
POINT (-87.63363399999999 41.888833),41.888833,-87.633634,161 West Kinzie Street,Merchandise Mart,3,Type B
POINT (-87.710638 41.968179),41.968179,-87.710638,3253 West Lawrence,3253 West Lawrence Avenue - Great Sea,2,Type B
POINT (-87.62855 41.879778),41.879778,-87.62855,131 South Dearborn Street,"131 South Dearborn Street, Chicago IL",1,Type B
POINT (-87.67318699999998 42.007018999999985),42.007019,-87.673187,6907 North Clark Street,Rogers Park library,2,Type B
POINT (-87.623717 41.865409),41.865409,-87.623717,1303-1321 South Michigan Avenue,1305 S. Michigan Ave,1,Type B
POINT (-87.695161 41.91052200000001),41.910522,-87.695161,2700-2722 West North Avenue,Tip Top Wine & Spirits,1,Type B
POINT (-87.63080200000002 41.890601),41.890601,-87.630802,25 North Clark Street,Corner of Clark St. and Illinois St.,1,Type B
POINT (-87.667944 41.97933999999999),41.97934,-87.667944,5343 North Clark Street,Clark between Summerdale / Balmoral,1,Type B
POINT (-87.766889 41.949806),41.949806,-87.766889,3810 N Central,"3810 N Central, Ecuadorian Restaurant",1,Type B
POINT (-87.623897 41.89494),41.89494,-87.623897,135 E Huron St,135 E Huron St,2,Type B
POINT (-87.752304 41.975428),41.975428,-87.752304,5200 North Elston Avenue,Mother Cluckers,2,Type B
POINT (-87.696171 41.903162),41.903162,-87.696171,2744 West Division Street,Yauco Food & Liquors,1,Type B
POINT (-87.64857299999998 41.91965699999999),41.919657,-87.648573,2050 N Halsted St,"Aroma Workshop,  2050 N Halsted St",1,Type B
POINT (-87.64914999999999 41.944885000000006),41.944885,-87.64915,3441-3443 North Halsted Street,3441 North Halsted Street - Lark,1,Type B
POINT (-87.716931 41.843655000000005),41.843655,-87.716931,2619-2625 South Lawndale Avenue,Little Village Academy-2620 S. Lawndale Avenue,1,Type B
POINT (-87.67565 41.899682),41.899682,-87.67565,1001 North Winchester Avenue,Winchester and Augusta,2,Type B
POINT (-87.76448909 41.997397169999985),41.99739717,-87.76448909,5418 W. Devon Avenue,"5418 W. Devon Avenue, A Vintage Bloom",1,Type B
POINT (-87.628023 41.883406999999984),41.883407,-87.628023,Washington/State,Washington/State,1,Type B
POINT (-87.66776943 41.714071549999986),41.71407155,-87.66776943,1810 W. 99th Assure Aesthetics,1810 W. 99th Assure Aesthetics,2,Type B
POINT (-87.63608999999998 41.89935),41.89935,-87.63609,900-920 North Franklin Street,Franklin square,4,Type B
POINT (-87.77699341999998 41.93838073),41.93838073,-87.77699342,6017 W. Belmont,EuroCenter,1,Type B
POINT (-87.723484 41.837052),41.837052,-87.723484,3936-3940 West 31st Street,El Faro-3936 W. 31st St.,1,Type B
